step,loss,learning_rate,elapsed_seconds,step_seconds,samples_this_step,total_samples,tokens_per_sample,tokens_this_step,total_tokens,tokens_per_second,tokens_per_hour,tokens_per_day,videos_per_second,videos_per_hour,videos_per_day,bsa_sparse_ratio
1,0.3262874186038971,3.3333333333333335e-05,2.023975407704711,2.023975407704711,1,1,80,80,80,39.52617195617213,142294.21904221966,3415061.257013272,0.49407714945215164,1778.6777380277458,42688.2657126659,0.85
2,0.07908296585083008,3.3333333333333335e-05,2.6098463218659163,0.5858709141612053,1,2,80,80,160,61.306291738131,220702.6502572716,5296863.606174518,0.7663286467266375,2758.783128215895,66210.79507718148,0.85
3,1.2651519775390625,3.3333333333333335e-05,3.9597551580518484,1.3499088361859322,1,3,80,80,240,60.609808036231485,218195.30893043336,5236687.4143304005,0.7576226004528935,2727.441361630417,65458.59267913,0.85
4,0.0462624691426754,3.3333333333333335e-05,4.54024051502347,0.5804853569716215,1,4,80,80,320,70.4808476425716,253731.0515132578,6089545.236318187,0.881010595532145,3171.638143915722,76119.31545397732,0.85
5,2.1507978439331055,0.0001,5.867160787805915,1.326920272782445,1,5,80,80,400,68.17607603857472,245433.873738869,5890412.969732855,0.852200950482184,3067.9234217358626,73630.1621216607,0.85
6,1.9081103801727295,0.0001,6.499169001355767,0.6320082135498524,1,6,80,80,480,73.85559598463573,265880.1455446886,6381123.4930725265,0.9231949498079466,3323.5018193086075,79764.04366340658,0.85
7,0.060457926243543625,0.0001,7.735713019967079,1.236544018611312,1,7,80,80,560,72.39151692346302,260609.46092446687,6254627.062187204,0.9048939615432877,3257.618261555836,78182.83827734005,0.85
8,0.0,0.0001,8.320256827399135,0.5845438074320555,1,8,80,80,640,76.92070248269732,276914.52893771033,6645948.694505049,0.9615087810337166,3461.43161172138,83074.35868131311,0.85
9,1.9273217916488647,0.0001,9.686498841270804,1.3662420138716698,1,9,80,80,720,74.33026233713365,267588.9444136811,6422134.665928347,0.9291282792141706,3344.861805171014,80276.68332410434,0.85
10,1.8765023946762085,0.0001,10.423710960894823,0.7372121196240187,1,10,80,80,800,76.74809892573269,276293.1561326377,6631035.747183304,0.9593512365716585,3453.664451657971,82887.9468397913,0.85
11,0.22613054513931274,0.0001,11.86206852644682,1.4383575655519962,1,11,80,80,880,74.18604925759912,267069.77732735686,6409674.655856565,0.9273256157199891,3338.3722165919608,80120.93319820706,0.85
12,0.309855192899704,0.0001,12.444256249815226,0.5821877233684063,1,12,80,80,960,77.14402377516569,277718.4855905965,6665243.654174316,0.9643002971895711,3471.481069882456,83315.54567717895,0.85
13,1.9177173376083374,0.0001,13.754289731383324,1.310033481568098,1,13,80,80,1040,75.61277392805096,272205.9861409834,6532943.667383603,0.945159674100637,3402.574826762293,81661.79584229503,0.85
14,1.693881630897522,0.0001,14.336723994463682,0.5824342630803585,1,14,80,80,1120,78.12105474252716,281235.7970730978,6749659.129754347,0.9765131842815895,3515.4474634137223,84370.73912192933,0.85
15,1.6759257316589355,0.0001,15.642350625246763,1.305626630783081,1,15,80,80,1200,76.71481280206054,276173.32608741795,6628159.82609803,0.9589351600257566,3452.166576092724,82851.99782622537,0.85
16,1.4128931760787964,0.0001,16.224918136373162,0.582567511126399,1,16,80,80,1280,78.89099897092761,284007.5962953394,6816182.311088146,0.9861374871365952,3550.094953691743,85202.27888860182,0.85
17,0.9831615090370178,0.0001,17.544667838141322,1.3197497017681599,1,17,80,80,1360,77.51642906817654,279059.1446454355,6697419.471490453,0.9689553633522068,3488.2393080679444,83717.74339363066,0.85
18,1.543943166732788,0.0001,18.123438550159335,0.578770712018013,1,18,80,80,1440,79.45512083783571,286038.43501620856,6864922.4403890055,0.9931890104729464,3575.480437702607,85811.53050486257,0.85
19,1.132119059562683,0.0001,19.47657291777432,1.3531343676149845,1,19,80,80,1520,78.04247730938579,280952.91831378883,6742870.039530932,0.9755309663673223,3511.9114789223604,84285.87549413665,0.85
20,0.1581740826368332,0.0001,20.27048666216433,0.7939137443900108,1,20,80,80,1600,78.9324907026758,284156.9665296329,6819767.19671119,0.9866561337834476,3551.9620816204115,85247.08995888988,0.85
